,Restaurants,lat-long
0,punjabi angithi paschim vihar new delhi,"28.6726861364,77.1090091020"
1,singlas ip extension new delhi,"28.6358616534,77.3056113347"
2,kc restaurant sector 7 dwarka new delhi,"28.5853409000,77.0691977000"
3,rps restaurant malviya nagar new delhi,"28.5405762557,77.2183708102"
4,om sweets snacks sector 16 faridabad,"28.4130920000,77.3188170000"
5,haldirams 1 malviya nagar new delhi,"28.5363885019,77.2115110606"
6,rajinder da dhaba safdarjung new delhi,"28.5655299661,77.1992550418"
7,ama cafe majnu ka tila new delhi,"28.7026440000,77.2282940000"
8,bikanervala sector 29 gurgaon,"28.4690343669,77.0636945218"
9,hira sweets laxmi nagar new delhi,"28.6336110812,77.2819488868"
10,leos vasant vihar new delhi,"28.5586275215,77.1638408303"
11,theobroma punjabi bagh new delhi,"28.6666894543,77.1220567077"
12,shree gopal ji chole bhature rohini new delhi,"28.7003490909,77.1020320058"
13,kfc 2 saket new delhi,"28.5233190361,77.2075685486"
14,theos 1 sector 50 noida,"28.5699927562,77.3623333499"
15,the big chill cafe connaught place new delhi,"28.6345239106,77.2190363333"
16,gulati pandara road new delhi,"28.6079824068,77.2300457954"
17,mcdonalds sector 15 faridabad,"28.3978784398,77.3124516383"
18,pizza live nit faridabad,"28.3974280791,77.3041917756"
19,pizza villa 1 nit faridabad,"28.4055200000,77.3049670000"
20,gulab pitampura new delhi,"28.6998470863,77.1372467279"
21,noshi yum asian delivery greater kailash gk 1 new delhi,"28.5553065895,77.2377085313"
22,concept shawarma defence colony new delhi,"28.5783065390,77.2387874499"
23,the big chill cakery 1 khan market new delhi,"28.5998505346,77.2259148583"
24,champaran meat house gaur city 2 greater noida,"28.6181510000,77.4273990000"
25,diggin anand lok delhi,"28.5556449601,77.2184361890"
26,the cake story sector 50 gurgaon,"28.4254455990,77.0574868843"
27,monika cafe vikaspuri new delhi,"28.6387383605,77.0767005533"
28,babas golf course road gurgaon,"28.4340036945,77.1043698862"
29,nik baker punjabi bagh new delhi,"28.6667500553,77.1235584095"
30,son of a bun sector 53 gurgaon,"28.4416780000,77.0944960000"
31,changezi chicken karol bagh new delhi,"28.6548924777,77.2000124305"
32,chilis grill bar vasant kunj new delhi,"28.5408749117,77.1548959985"
33,yum yum cha khan market new delhi,"28.5997745878,77.2264596820"
34,dominos pizza model town 2 new delhi,"28.7058859803,77.1899269894"
35,everbake,"28.7064056000,77.1624343470"
36,janta eating house shahdara new delhi,"28.6821971675,77.2922110185"
37,delhi darbar biryani point uttam nagar new delhi,"28.6255223947,77.0643305406"
38,anand ji lajpat nagar 1 new delhi,"28.5753442624,77.2415876761"
39,veer ji malai chaap wale karkardooma new delhi,"28.6534734796,77.3027983680"
40,wengers connaught place new delhi,"28.6334507026,77.2180680558"
41,cafe wink anand vihar new delhi,"28.6572599816,77.3172340170"
42,natural ice cream hauz khas new delhi,"28.5509636288,77.2044632211"
43,mom hand momos satyaniketan new delhi,"28.5876960009,77.1685243025"
44,c i a call it asiian greater kailash gk 2 new delhi,"28.5277497398,77.2467817739"
45,shri radhe krishna chole bhature karkardooma new delhi,"28.6481962740,77.3017774522"
46,the tummy section jail road new delhi,"28.6346707512,77.0970011875"
47,zaika e dilli shahdara new delhi,"28.7001805799,77.2722161561"
48,moti mahal delux sector 49 gurgaon,"28.4117434220,77.0486003906"
49,bukhara itc maurya chanakyapuri new delhi,"28.5982159011,77.1736473218"
50,cafeteria co vijay nagar new delhi,"28.6944828092,77.2042758018"
51,whipped greater kailash gk 2 new delhi,"28.5387787053,77.2400145605"
52,bhawna food corner malviya nagar new delhi,"28.5404039537,77.2050127387"
53,dhaba cash n curry kitchen mahipalpur new delhi,"28.5414389394,77.1181209013"
54,burgerama greater kailash gk 1 new delhi,"28.5563110000,77.2378920000"
55,taco bell ardee city gurgaon,"28.4448582061,77.0805488527"
56,mkt 1 chanakyapuri new delhi,"28.5844731417,77.1907366812"
57,paul 2 vasant kunj new delhi,"28.5413970000,77.1546550000"
58,nandos punjabi bagh new delhi,"28.6663932149,77.1246443689"
59,blackjack punjabi bagh new delhi,"28.6665082394,77.1249555051"
60,sita ram diwan chand paharganj new delhi,"28.6423547309,77.2103758156"
61,punjabi virsa garden sector 2 noida,"28.5839643996,77.3152102903"
62,havemore pandara road new delhi,"28.6080742422,77.2297175601"
63,prem dhaba karol bagh new delhi,"28.6549916273,77.2002913803"
64,pandit ji parantha hut ashok vihar phase 2 new delhi,"28.6989632000,77.1838455000"
65,keralicious 1 dlf phase 4 gurgaon,"28.4622547052,77.0873358473"
66,shama chicken corner sector 33 gurgaon,"28.4387326696,77.0364784822"
67,al forno straight outta italy hauz khas new delhi,"28.5499820000,77.2155940000"
68,aslam chicken jama masjid new delhi,"28.6480982948,77.2336805239"
69,mahabelly,"28.5273067073,77.2169733793"
70,the cake cafe rohini new delhi,"28.7114969724,77.1199300513"
71,burger king mg road gurgaon,"28.4789487136,77.0805880800"
72,pirates of grill mg road gurgaon,"28.4797786001,77.0894041657"
73,al hadi foods laxmi nagar new delhi,"28.6397190000,77.2726160000"
74,the cake cafe ashok vihar phase 3 new delhi,"28.6957650000,77.1867850000"
75,binge dlf phase 1 gurgaon,"28.4709848907,77.1020869911"
76,the yellow bowl shahdara new delhi,"28.6775558899,77.2903616354"
77,jalsa indian ladakhi kitchen dlf phase 1 gurgaon,"28.4667610682,77.0939984545"
78,nazeer foods pandav nagar new delhi,"28.6261077463,77.2857646644"
79,urban pasta king 1 rohini new delhi,"28.7381419138,77.1220707893"
80,saleems restaurant kailash colony new delhi,"28.5535982285,77.2408068180"
81,sunil momos com paschim vihar new delhi,"28.6703675189,77.0837554336"
82,chawlas tandoori junction sector 72 noida,"28.5805768708,77.3832321921"
83,al baik biryani restaurant sector 39 gurgaon,"28.4387194028,77.0366085693"
84,pandit ji ka dhaba rohini new delhi,"28.7070716623,77.0895436406"
85,gannus shakes snacks krishna nagar new delhi,"28.6602204699,77.2733378051"
86,spice punch rohini new delhi,"28.7111111730,77.1137723699"
87,brain freezers nit faridabad,"28.3970830000,77.3018330000"
88,mon delice sector 50 gurgaon,"28.4254037297,77.0570651069"
89,de nawabs sector 72 noida,"28.5712641869,77.3833008483"
90,da pizza makers 1 moti nagar new delhi,"28.6645083831,77.1438566968"
91,sunny the dhaba mahipalpur new delhi,"28.5426326652,77.1185731888"
92,gopals 56 kalkaji new delhi,"28.5346259314,77.2580453753"
93,tau ka dhaba dlf phase 3 gurgaon,"28.4948094381,77.0958025753"
94,saravana bhavan janpath new delhi,"28.6271710236,77.2196572647"
95,kashi ram chole kulche wala naraina new delhi,"28.6293828883,77.1388111264"
96,QDsLaxmiNagar,"28.6363154109,77.2856409475"
97,the burger club laxmi nagar new delhi,"28.6333700717,77.2817245871"
98,aapki apni rasoi sector 71 noida,"28.5970905119,77.3815993220"
99,new udupi restaurant nehru nagar ghaziabad,"28.6579310000,77.4400500000"
100,wah ji wah 19 rohini new delhi,"28.6931055221,77.0954468474"
101,the big chill creamery khan market new delhi,"28.5999097023,77.2258833423"
102,paparizza lust for crust delhi university gtb nagar new delhi,"28.6951501238,77.2042305395"
103,samosa hub krishna nagar new delhi,"28.6601372787,77.2837385908"
104,kadak singh da dhaba sector 59 noida,"28.6097290000,77.3703682000"
105,moolchand parantha kalkaji new delhi,"28.5416831050,77.2553678602"
106,burger king nehru place new delhi,"28.5513293000,77.2514005000"
107,nonas kitchen dlf phase 4 gurgaon,"28.4626157754,77.0871799439"
108,knock n serve kitchen sector 10 dwarka new delhi,"28.5899010000,77.0570120000"
109,hunger strike amar colony,"28.5625340545,77.2445347533"
110,sabse sasta spicy food sector 12 gurgaon,"28.4733130000,77.0249200000"
111,dial a cake pandav nagar new delhi,"28.6203182435,77.2854263708"
112,cake castle sector 83 gurgaon,"28.3889162854,76.9685341045"
113,xero degrees connaught place new delhi,"28.6343423459,77.2213641554"
114,fabcafe by fabindia lajpat nagar 3 new delhi,"28.5658610000,77.2380830000"
115,adda of swad hajipur,"28.5390830000,77.3654270000"
116,biryani by kilo connaught place new delhi,"28.6308725453,77.2219713405"
117,mehak food corner kalkaji new delhi,"28.5436322861,77.2509502620"
118,sabkuch sector 22 gurgaon,"28.5027917943,77.0629243925"
119,ministry of pork safdarjung new delhi,"28.5608826447,77.1937169507"
120,ice junkies 2 sector 135 noida,"28.4961286266,77.4018406123"
121,chick chicken barbeque indirapuram ghaziabad,"28.6374562699,77.3693956062"
122,the cake factory sector 34 noida,"28.5791920000,77.3612430000"
123,kukud ku prashant vihar new delhi,"28.7122773884,77.1375820041"
124,sweet obsession bakery golf course road gurgaon,"28.4480269663,77.0990939811"
125,taniska restaurant sector 49 noida,"28.5621874608,77.3715125397"
126,star crust 1 sector 10 faridabad,"28.3692745257,77.3278854042"
127,wrap it up global wrap artists kalkaji new delhi,"28.5406811094,77.2571029142"
128,momos point kamla nagar new delhi,"28.6806349986,77.2071001679"
129,al foodies malviya nagar new delhi,"28.5346340000,77.2204550000"
130,le himalaya malviya nagar new delhi,"28.5389253851,77.2135964781"
131,grover sweets 3 uttam nagar new delhi,"28.6192713784,77.0325510576"
132,new al lazeez lajpat nagar 4 new delhi,"28.5630691081,77.2384434566"
133,singh chicken fish corner sector 14 gurgaon,"28.4780690151,77.0458638668"
134,azzurro express greater kailash gk 2 new delhi,"28.5308762475,77.2412772104"
135,singh chicken fish corner sector 14 gurgaon,"28.4780690151,77.0458638668"
136,azzurro express greater kailash gk 2 new delhi,"28.5308762475,77.2412772104"
